WinnerName,WinnerAge,winner_Height,winner_Weight,winner_Reach,winner_Stance,winner_DOB,WinningDate,title_bout
Brad Tavares,30.0,"6' 1""",185 lbs.,"74""",Orthodox,"Dec 21, 1987",2018-04-14,False
Yushin Okami,36.0,"6' 2""",170 lbs.,"75""",Southpaw,"Jul 21, 1981",2018-04-14,False
Adam Wieczorek,26.0,"6' 5""",250 lbs.,"81""",Orthodox,"Feb 05, 1992",2018-04-14,False
Alejandro Perez,28.0,"5' 6""",135 lbs.,"67""",Orthodox,"Sep 02, 1989",2018-04-14,False
Luke Sanders,32.0,"5' 6""",135 lbs.,"67""",Southpaw,"Dec 12, 1985",2018-04-14,False
Khabib Nurmagomedov,29.0,"5' 10""",155 lbs.,"70""",Orthodox,"Sep 20, 1988",2018-04-07,True
Rose Namajunas,25.0,"5' 5""",115 lbs.,"65""",Orthodox,"Jun 29, 1992",2018-04-07,True
Renato Moicano,28.0,"5' 11""",145 lbs.,"72""",Orthodox,"May 21, 1989",2018-04-07,False
Zabit Magomedsharipov,27.0,"6' 1""",145 lbs.,"73""",Orthodox,"Mar 01, 1991",2018-04-07,False
Chris Gruetzemacher,31.0,"5' 8""",155 lbs.,"68""",Orthodox,"Jun 16, 1986",2018-04-07,False
Karolina Kowalkiewicz,32.0,"5' 3""",115 lbs.,"64""",Orthodox,"Oct 15, 1985",2018-04-07,False
Olivier Aubin-Mercier,29.0,"5' 9""",155 lbs.,"70""",Southpaw,"Feb 23, 1989",2018-04-07,False
Ashlee Evans-Smith,30.0,"5' 8""",125 lbs.,"67""",Orthodox,"Jul 09, 1987",2018-04-07,False
Alexander Volkov,29.0,"6' 7""",250 lbs.,"80""",Orthodox,"Oct 24, 1988",2018-03-17,False
Jan Blachowicz,35.0,"6' 2""",205 lbs.,"78""",Orthodox,"Feb 24, 1983",2018-03-17,False
Tom Duquesnoy,24.0,"5' 7""",135 lbs.,"68""",Orthodox,"Jun 21, 1993",2018-03-17,False
Leon Edwards,26.0,"6' 0""",170 lbs.,"74""",Southpaw,"Aug 25, 1991",2018-03-17,False
Danny Roberts,30.0,"6' 1""",170 lbs.,"74""",Southpaw,"Jul 14, 1987",2018-03-17,False
Kajan Johnson,33.0,"5' 11""",155 lbs.,"75""",Orthodox,"Apr 21, 1984",2018-03-17,False
Brian Ortega,27.0,"5' 8""",145 lbs.,"69""",Switch,"Feb 21, 1991",2018-03-03,False
Sean O'Malley,23.0,"5' 11""",135 lbs.,"72""",Switch,"Oct 24, 1994",2018-03-03,False
Andrei Arlovski,39.0,"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979",2018-03-03,False
Ketlen Vieira,26.0,"5' 8""",135 lbs.,"68""",Orthodox,"Aug 26, 1991",2018-03-03,False
John Dodson,33.0,"5' 3""",135 lbs.,"66""",Orthodox,"Sep 26, 1984",2018-03-03,False
CB Dollaway,34.0,"6' 2""",185 lbs.,"76""",Orthodox,"Aug 10, 1983",2018-03-03,False
Zak Ottow,31.0,"5' 11""",170 lbs.,"72""",Orthodox,"Dec 22, 1986",2018-03-03,False
Cody Stamann,28.0,"5' 6""",135 lbs.,"64""",Orthodox,"Nov 09, 1989",2018-03-03,False
Jordan Johnson,29.0,"6' 2""",205 lbs.,"79""",Orthodox,"Nov 18, 1988",2018-03-03,False
Jeremy Stephens,31.0,"5' 8""",145 lbs.,"71""",Orthodox,"May 25, 1986",2018-02-24,False
Jessica Andrade,26.0,"5' 1""",115 lbs.,"62""",Orthodox,"Sep 25, 1991",2018-02-24,False
Ilir Latifi,34.0,"5' 10""",205 lbs.,"73""",Orthodox,"Jul 28, 1983",2018-02-24,False
Max Griffin,32.0,"5' 11""",170 lbs.,"76""",Orthodox,"Nov 29, 1985",2018-02-24,False
Brian Kelleher,31.0,"5' 6""",135 lbs.,"66""",Switch,"Aug 19, 1986",2018-02-24,False
Marion Reneau,40.0,"5' 6""",135 lbs.,"68""",Orthodox,"Jun 20, 1977",2018-02-24,False
Angela Hill,33.0,"5' 3""",115 lbs.,"64""",Orthodox,"Jan 12, 1985",2018-02-24,False
Alan Jouban,36.0,"6' 0""",170 lbs.,"73""",Southpaw,"Nov 25, 1981",2018-02-24,False
Rani Yahya,33.0,"5' 6""",135 lbs.,"67""",Orthodox,"Sep 12, 1984",2018-02-24,False
Alex Perez,25.0,"5' 6""",135 lbs.,"65""",Orthodox,"Mar 21, 1992",2018-02-24,False
Donald Cerrone,34.0,"6' 1""",155 lbs.,"73""",Orthodox,"Mar 29, 1983",2018-02-18,False
Derrick Lewis,33.0,"6' 3""",260 lbs.,"79""",Orthodox,"Feb 07, 1985",2018-02-18,False
James Vick,30.0,"6' 3""",155 lbs.,"76""",Orthodox,"Feb 23, 1987",2018-02-18,False
Sage Northcutt,21.0,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 01, 1996",2018-02-18,False
Diego Ferreira,33.0,"5' 9""",155 lbs.,"74""",Orthodox,"Jan 18, 1985",2018-02-18,False
Roberto Sanchez,31.0,"5' 6""",125 lbs.,"66""",Orthodox,"Mar 05, 1986",2018-02-18,False
Lucie Pudilova,23.0,"5' 8""",125 lbs.,"67""",Orthodox,"Jun 13, 1994",2018-02-18,False
Alex Morono,27.0,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 16, 1990",2018-02-18,False
Yoel Romero,40.0,"6' 0""",185 lbs.,"73""",Southpaw,"Apr 30, 1977",2018-02-10,True
Curtis Blaydes,26.0,"6' 4""",265 lbs.,"80""",Orthodox,"Feb 18, 1991",2018-02-10,False
Tai Tuivasa,24.0,"6' 2""",264 lbs.,"75""",Southpaw,"Mar 16, 1993",2018-02-10,False
Jake Matthews,23.0,"5' 11""",170 lbs.,"73""",Orthodox,"Aug 19, 1994",2018-02-10,False
Tyson Pedro,26.0,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 17, 1991",2018-02-10,False
Dong Hyun Ma,29.0,"5' 11""",155 lbs.,"70""",Orthodox,"Sep 09, 1988",2018-02-10,False
