WinnerName,WinnerAge,winner_Height,winner_Weight,winner_Reach,winner_Stance,winner_DOB,WinningDate,title_bout
Rory MacDonald,24.0,"6' 0""",170 lbs.,"76""",Orthodox,"Jul 22, 1989",2014-02-22,False
Mike Pyle,38.0,"6' 0""",170 lbs.,"74""",Orthodox,"Sep 18, 1975",2014-02-22,False
Stephen Thompson,31.0,"6' 0""",170 lbs.,"75""",Orthodox,"Feb 11, 1983",2014-02-22,False
Alexis Davis,29.0,"5' 6""",125 lbs.,"68""",Orthodox,"Oct 04, 1984",2014-02-22,False
Zach Makovsky,30.0,"5' 4""",125 lbs.,"64""",Southpaw,"Apr 19, 1983",2014-02-22,False
Erik Koch,25.0,"5' 10""",155 lbs.,"71""",Southpaw,"Oct 04, 1988",2014-02-22,False
Lyoto Machida,35.0,"6' 1""",185 lbs.,"74""",Southpaw,"May 30, 1978",2014-02-15,False
Jacare Souza,34.0,"6' 1""",185 lbs.,"72""",Orthodox,"Dec 07, 1979",2014-02-15,False
Nico Musoke,27.0,"6' 0""",170 lbs.,"75""",Orthodox,"Apr 05, 1986",2014-02-15,False
Charles Oliveira,24.0,"5' 10""",155 lbs.,"74""",Orthodox,"Oct 17, 1989",2014-02-15,False
Joe Proctor,28.0,"5' 10""",155 lbs.,"72""",Orthodox,"Aug 10, 1985",2014-02-15,False
Rodrigo Damm,34.0,"5' 7""",155 lbs.,"71""",Orthodox,"Feb 03, 1980",2014-02-15,False
Francisco Trinaldo,35.0,"5' 9""",155 lbs.,"70""",Southpaw,"Aug 24, 1978",2014-02-15,False
Iuri Alcantara,33.0,"5' 9""",135 lbs.,"71""",Southpaw,"Aug 04, 1980",2014-02-15,False
Felipe Arantes,26.0,"5' 8""",135 lbs.,"73""",Orthodox,"Feb 09, 1988",2014-02-15,False
Renan Barao,27.0,"5' 6""",135 lbs.,"70""",Orthodox,"Jan 31, 1987",2014-02-01,True
Jose Aldo,27.0,"5' 7""",145 lbs.,"70""",Orthodox,"Sep 09, 1986",2014-02-01,True
Alistair Overeem,33.0,"6' 4""",265 lbs.,"80""",Orthodox,"May 17, 1980",2014-02-01,False
Ali Bagautinov,28.0,"5' 4""",125 lbs.,"65""",Orthodox,"Jun 10, 1985",2014-02-01,False
Abel Trujillo,30.0,"5' 8""",155 lbs.,"70""",Orthodox,"Sep 18, 1983",2014-02-01,False
Alan Patrick,30.0,"5' 11""",155 lbs.,"74""",Southpaw,"Jul 19, 1983",2014-02-01,False
Nick Catone,32.0,"6' 0""",185 lbs.,"72""",Southpaw,"Sep 01, 1981",2014-02-01,False
Benson Henderson,30.0,"5' 9""",170 lbs.,"70""",Southpaw,"Nov 16, 1983",2014-01-25,False
Stipe Miocic,31.0,"6' 4""",240 lbs.,"80""",Orthodox,"Aug 19, 1982",2014-01-25,False
Donald Cerrone,30.0,"6' 1""",155 lbs.,"73""",Orthodox,"Mar 29, 1983",2014-01-25,False
Jeremy Stephens,27.0,"5' 8""",145 lbs.,"71""",Orthodox,"May 25, 1986",2014-01-25,False
Alex Caceres,25.0,"5' 10""",145 lbs.,"73""",Southpaw,"Jun 20, 1988",2014-01-25,False
Eddie Wineland,29.0,"5' 7""",135 lbs.,"69""",Orthodox,"Jun 26, 1984",2014-01-25,False
Hugo Viana,31.0,"5' 6""",135 lbs.,"67""",Orthodox,"Sep 26, 1982",2014-01-25,False
Daron Cruickshank,28.0,"5' 8""",155 lbs.,"72""",Switch,"Jun 11, 1985",2014-01-25,False
Nikita Krylov,21.0,"6' 3""",205 lbs.,"77""",Orthodox,"Mar 07, 1992",2014-01-25,False
Luke Rockhold,29.0,"6' 3""",185 lbs.,"77""",Southpaw,"Oct 17, 1984",2014-01-15,False
Brad Tavares,26.0,"6' 1""",185 lbs.,"74""",Orthodox,"Dec 21, 1987",2014-01-15,False
TJ Dillashaw,27.0,"5' 6""",125 lbs.,"67""",Orthodox,"Feb 07, 1986",2014-01-15,False
Yoel Romero,36.0,"6' 0""",185 lbs.,"73""",Southpaw,"Apr 30, 1977",2014-01-15,False
John Moraga,29.0,"5' 6""",125 lbs.,"66""",Orthodox,"Mar 20, 1984",2014-01-15,False
Cole Miller,29.0,"6' 1""",145 lbs.,"74""",Orthodox,"Apr 26, 1984",2014-01-15,False
Ramsey Nijem,25.0,"5' 11""",155 lbs.,"75""",Orthodox,"Apr 01, 1988",2014-01-15,False
Elias Silverio,27.0,"5' 11""",155 lbs.,"73""",Orthodox,"Sep 22, 1986",2014-01-15,False
Trevor Smith,33.0,"6' 3""",185 lbs.,"75""",Orthodox,"Jan 05, 1981",2014-01-15,False
Vinc Pichel,31.0,"5' 10""",155 lbs.,"72""",Orthodox,"Nov 23, 1982",2014-01-15,False
Chris Weidman,29.0,"6' 2""",185 lbs.,"78""",Orthodox,"Jun 17, 1984",2013-12-28,True
Ronda Rousey,26.0,"5' 7""",135 lbs.,"68""",Orthodox,"Feb 01, 1987",2013-12-28,True
Travis Browne,31.0,"6' 6""",255 lbs.,"79""",Orthodox,"Jul 17, 1982",2013-12-28,False
Jim Miller,30.0,"5' 8""",155 lbs.,"71""",Southpaw,"Aug 30, 1983",2013-12-28,False
Dustin Poirier,24.0,"5' 9""",155 lbs.,"72""",Southpaw,"Jan 19, 1989",2013-12-28,False
Uriah Hall,29.0,"6' 0""",185 lbs.,"79""",Orthodox,"Jul 31, 1984",2013-12-28,False
Michael Johnson,27.0,"5' 10""",145 lbs.,"73""",Southpaw,"Jun 04, 1986",2013-12-28,False
John Howard,30.0,"5' 7""",170 lbs.,"71""",Orthodox,"Mar 01, 1983",2013-12-28,False
William Patolino,22.0,"5' 11""",170 lbs.,"75""",Orthodox,"Jul 01, 1991",2013-12-28,False
Robert Peralta,27.0,"5' 8""",145 lbs.,"71""",Orthodox,"Mar 14, 1986",2013-12-28,False
Demetrious Johnson,27.0,"5' 3""",125 lbs.,"66""",Orthodox,"Aug 13, 1986",2013-12-14,True
Urijah Faber,34.0,"5' 6""",135 lbs.,"67""",Orthodox,"May 14, 1979",2013-12-14,False
Chad Mendes,28.0,"5' 6""",145 lbs.,"66""",Orthodox,"May 01, 1985",2013-12-14,False
Joe Lauzon,29.0,"5' 10""",155 lbs.,"71""",Orthodox,"May 22, 1984",2013-12-14,False
Ryan LaFlare,30.0,"6' 1""",170 lbs.,"74""",Southpaw,"Oct 01, 1983",2013-12-14,False
Edson Barboza,27.0,"5' 11""",155 lbs.,"75""",Orthodox,"Jan 21, 1986",2013-12-14,False
Bobby Green,27.0,"5' 10""",155 lbs.,"71""",Orthodox,"Sep 09, 1986",2013-12-14,False
Sam Stout,29.0,"5' 9""",155 lbs.,"70""",Orthodox,"Apr 23, 1984",2013-12-14,False
Abel Trujillo,30.0,"5' 8""",155 lbs.,"70""",Orthodox,"Sep 18, 1983",2013-12-14,False
Mauricio Rua,32.0,"6' 1""",205 lbs.,"76""",Orthodox,"Nov 25, 1981",2013-12-06,False
Ryan Bader,30.0,"6' 2""",205 lbs.,"74""",Orthodox,"Jun 07, 1983",2013-12-06,False
Soa Palelei,36.0,"6' 4""",265 lbs.,"81""",Orthodox,"Jul 12, 1977",2013-12-06,False
Clint Hester,27.0,"6' 2""",205 lbs.,"77""",Orthodox,"Nov 21, 1986",2013-12-06,False
Takeya Mizugaki,29.0,"5' 7""",135 lbs.,"68""",Orthodox,"Dec 16, 1983",2013-12-06,False
Caio Magalhaes,25.0,"6' 1""",185 lbs.,"73""",Orthodox,"Dec 14, 1987",2013-12-06,False
Nate Diaz,28.0,"6' 0""",170 lbs.,"76""",Southpaw,"Apr 16, 1985",2013-11-30,False
Akira Corassani,31.0,"5' 8""",145 lbs.,"68""",Orthodox,"Aug 27, 1982",2013-11-30,False
Georges St-Pierre,32.0,"5' 11""",185 lbs.,"76""",Orthodox,"May 19, 1981",2013-11-16,True
Rashad Evans,34.0,"6' 0""",205 lbs.,"75""",Orthodox,"Sep 25, 1979",2013-11-16,False
Robbie Lawler,31.0,"5' 11""",170 lbs.,"74""",Southpaw,"Mar 20, 1982",2013-11-16,False
Tyron Woodley,31.0,"5' 9""",170 lbs.,"74""",Orthodox,"Apr 07, 1982",2013-11-16,False
Ali Bagautinov,28.0,"5' 4""",125 lbs.,"65""",Orthodox,"Jun 10, 1985",2013-11-16,False
Donald Cerrone,30.0,"6' 1""",155 lbs.,"73""",Orthodox,"Mar 29, 1983",2013-11-16,False
Thales Leites,32.0,"6' 1""",185 lbs.,"78""",Orthodox,"Sep 06, 1981",2013-11-16,False
Rick Story,29.0,"5' 9""",170 lbs.,"71""",Southpaw,"Aug 28, 1984",2013-11-16,False
Erik Perez,23.0,"5' 8""",135 lbs.,"68""",Orthodox,"Nov 19, 1989",2013-11-16,False
Gian Villante,28.0,"6' 3""",205 lbs.,"76""",Orthodox,"Aug 18, 1985",2013-11-16,False
Vitor Belfort,36.0,"6' 0""",185 lbs.,"74""",Southpaw,"Apr 01, 1977",2013-11-09,False
Cezar Ferreira,28.0,"6' 1""",185 lbs.,"78""",Southpaw,"Feb 15, 1985",2013-11-09,False
Rafael Feijao,33.0,"6' 1""",205 lbs.,"73""",Orthodox,"Apr 14, 1980",2013-11-09,False
Brandon Thatch,28.0,"6' 2""",170 lbs.,"74""",Switch,"Jul 11, 1985",2013-11-09,False
Jeremy Stephens,27.0,"5' 8""",145 lbs.,"71""",Orthodox,"May 25, 1986",2013-11-09,False
Sam Sicilia,27.0,"5' 8""",145 lbs.,"67""",Orthodox,"Feb 01, 1986",2013-11-09,False
Thiago Tavares,29.0,"5' 7""",145 lbs.,"68""",Orthodox,"Nov 08, 1984",2013-11-09,False
Tim Kennedy,34.0,"5' 11""",185 lbs.,"74""",Orthodox,"Sep 01, 1979",2013-11-06,False
Alexis Davis,29.0,"5' 6""",125 lbs.,"68""",Orthodox,"Oct 04, 1984",2013-11-06,False
Yoel Romero,36.0,"6' 0""",185 lbs.,"73""",Southpaw,"Apr 30, 1977",2013-11-06,False
Rustam Khabilov,27.0,"5' 8""",155 lbs.,"73""",Orthodox,"Nov 04, 1986",2013-11-06,False
Michael Chiesa,25.0,"6' 1""",170 lbs.,"75""",Southpaw,"Dec 07, 1987",2013-11-06,False
Bobby Green,27.0,"5' 10""",155 lbs.,"71""",Orthodox,"Sep 09, 1986",2013-11-06,False
Francisco Rivera,32.0,"5' 8""",135 lbs.,"68""",Orthodox,"Oct 08, 1981",2013-11-06,False
Dennis Bermudez,26.0,"5' 6""",155 lbs.,"66""",Orthodox,"Dec 13, 1986",2013-11-06,False
Amanda Nunes,25.0,"5' 8""",145 lbs.,"69""",Orthodox,"May 30, 1988",2013-11-06,False
Lorenz Larkin,27.0,"5' 11""",170 lbs.,"72""",Orthodox,"Sep 03, 1986",2013-11-06,False
Seth Baczynski,32.0,"6' 3""",170 lbs.,"74""",Orthodox,"Oct 26, 1981",2013-11-06,False
Lyoto Machida,35.0,"6' 1""",185 lbs.,"74""",Southpaw,"May 30, 1978",2013-10-26,False
Jimi Manuwa,33.0,"6' 1""",205 lbs.,"79""",Orthodox,"Feb 18, 1980",2013-10-26,False
Norman Parke,26.0,"5' 11""",155 lbs.,"70""",,"Dec 22, 1986",2013-10-26,False
John Lineker,23.0,"5' 3""",135 lbs.,"67""",Orthodox,"Jun 12, 1990",2013-10-26,False
Al Iaquinta,26.0,"5' 10""",155 lbs.,"70""",Orthodox,"Apr 30, 1987",2013-10-26,False
Luke Barnatt,25.0,"6' 6""",185 lbs.,"77""",Orthodox,"Apr 13, 1988",2013-10-26,False
Jessica Andrade,22.0,"5' 1""",115 lbs.,"62""",Orthodox,"Sep 25, 1991",2013-10-26,False
Cole Miller,29.0,"6' 1""",145 lbs.,"74""",Orthodox,"Apr 26, 1984",2013-10-26,False
Bradley Scott,24.0,"6' 1""",170 lbs.,"76""",,"Jun 24, 1989",2013-10-26,False
Cain Velasquez,31.0,"6' 1""",240 lbs.,"77""",Orthodox,"Jul 28, 1982",2013-10-19,True
Daniel Cormier,34.0,"5' 11""",235 lbs.,"72""",Orthodox,"Mar 20, 1979",2013-10-19,False
Gilbert Melendez,31.0,"5' 9""",145 lbs.,"73""",Orthodox,"Apr 12, 1982",2013-10-19,False
Gabriel Gonzaga,34.0,"6' 2""",242 lbs.,"76""",Orthodox,"May 18, 1979",2013-10-19,False
Tim Boetsch,32.0,"6' 0""",185 lbs.,"74""",Orthodox,"Jan 28, 1981",2013-10-19,False
Hector Lombard,35.0,"5' 9""",185 lbs.,"71""",Southpaw,"Feb 02, 1978",2013-10-19,False
KJ Noons,30.0,"5' 10""",155 lbs.,"72""",Orthodox,"Dec 07, 1982",2013-10-19,False
Adlan Amagov,26.0,"6' 2""",170 lbs.,"76""",Orthodox,"Oct 30, 1986",2013-10-19,False
Tony Ferguson,29.0,"5' 11""",155 lbs.,"76""",Orthodox,"Feb 12, 1984",2013-10-19,False
Jake Shields,34.0,"6' 0""",170 lbs.,"72""",Orthodox,"Jan 09, 1979",2013-10-09,False
Dong Hyun Kim,31.0,"6' 2""",170 lbs.,"76""",Southpaw,"Nov 17, 1981",2013-10-09,False
Thiago Silva,30.0,"6' 2""",205 lbs.,"74""",Orthodox,"Nov 12, 1982",2013-10-09,False
Fabio Maldonado,33.0,"6' 1""",205 lbs.,"75""",Orthodox,"Mar 17, 1980",2013-10-09,False
Rousimar Palhares,33.0,"5' 8""",170 lbs.,"71""",Orthodox,"Feb 26, 1980",2013-10-09,False
Raphael Assuncao,31.0,"5' 5""",135 lbs.,"66""",Orthodox,"Jul 19, 1982",2013-10-09,False
Chris Cariaso,32.0,"5' 3""",125 lbs.,"63""",Southpaw,"May 27, 1981",2013-10-09,False
Jon Jones,26.0,"6' 4""",205 lbs.,"84""",Orthodox,"Jul 19, 1987",2013-09-21,True
Renan Barao,26.0,"5' 6""",135 lbs.,"70""",Orthodox,"Jan 31, 1987",2013-09-21,True
Brendan Schaub,30.0,"6' 4""",245 lbs.,"78""",Orthodox,"Mar 18, 1983",2013-09-21,False
Francis Carmont,31.0,"6' 3""",205 lbs.,"78""",Orthodox,"Oct 11, 1981",2013-09-21,False
Khabib Nurmagomedov,25.0,"5' 10""",155 lbs.,"70""",Orthodox,"Sep 20, 1988",2013-09-21,False
Myles Jury,24.0,"5' 10""",145 lbs.,"73""",Orthodox,"Oct 31, 1988",2013-09-21,False
Stephen Thompson,30.0,"6' 0""",170 lbs.,"75""",Orthodox,"Feb 11, 1983",2013-09-21,False
Mitch Gagnon,28.0,"5' 5""",135 lbs.,"65""",Southpaw,"Oct 10, 1984",2013-09-21,False
John Makdessi,28.0,"5' 8""",155 lbs.,"68""",Orthodox,"May 03, 1985",2013-09-21,False
Alex Caceres,25.0,"5' 10""",145 lbs.,"73""",Southpaw,"Jun 20, 1988",2013-09-21,False
Glover Teixeira,33.0,"6' 2""",205 lbs.,"76""",Orthodox,"Oct 28, 1979",2013-09-04,False
Jacare Souza,33.0,"6' 1""",185 lbs.,"72""",Orthodox,"Dec 07, 1979",2013-09-04,False
Joseph Benavidez,29.0,"5' 4""",125 lbs.,"65""",Southpaw,"Jul 31, 1984",2013-09-04,False
Rafael Natal,30.0,"6' 0""",185 lbs.,"76""",Orthodox,"Dec 25, 1982",2013-09-04,False
Sean Spencer,26.0,"5' 10""",170 lbs.,"75""",,"Jun 25, 1987",2013-09-04,False
Anthony Pettis,26.0,"5' 10""",170 lbs.,"72""",Orthodox,"Jan 27, 1987",2013-08-31,True
Josh Barnett,35.0,"6' 3""",250 lbs.,"78""",Orthodox,"Nov 10, 1977",2013-08-31,False
Chad Mendes,28.0,"5' 6""",145 lbs.,"66""",Orthodox,"May 01, 1985",2013-08-31,False
Ben Rothwell,31.0,"6' 4""",265 lbs.,"78""",Orthodox,"Oct 17, 1981",2013-08-31,False
Dustin Poirier,24.0,"5' 9""",155 lbs.,"72""",Southpaw,"Jan 19, 1989",2013-08-31,False
Gleison Tibau,29.0,"5' 10""",155 lbs.,"71""",Southpaw,"Oct 07, 1983",2013-08-31,False
Tim Elliott,26.0,"5' 7""",135 lbs.,"66""",Southpaw,"Dec 24, 1986",2013-08-31,False
Hyun Gyu Lim,28.0,"6' 3""",170 lbs.,"77""",Orthodox,"Jan 16, 1985",2013-08-31,False
Chico Camus,28.0,"5' 6""",125 lbs.,"66""",Orthodox,"Jan 26, 1985",2013-08-31,False
Al Iaquinta,26.0,"5' 10""",155 lbs.,"70""",Orthodox,"Apr 30, 1987",2013-08-31,False
Magnus Cedenblad,31.0,"6' 5""",185 lbs.,"79""",Orthodox,"Apr 10, 1982",2013-08-31,False
Carlos Condit,29.0,"6' 2""",170 lbs.,"75""",Orthodox,"Apr 26, 1984",2013-08-28,False
Rafael Dos Anjos,28.0,"5' 8""",170 lbs.,"70""",Southpaw,"Oct 26, 1984",2013-08-28,False
Kelvin Gastelum,21.0,"5' 9""",185 lbs.,"71""",Southpaw,"Oct 24, 1991",2013-08-28,False
Court McGee,28.0,"5' 11""",170 lbs.,"75""",Orthodox,"Dec 12, 1984",2013-08-28,False
Takeya Mizugaki,29.0,"5' 7""",135 lbs.,"68""",Orthodox,"Dec 16, 1983",2013-08-28,False
Brad Tavares,25.0,"6' 1""",185 lbs.,"74""",Orthodox,"Dec 21, 1987",2013-08-28,False
Dylan Andrews,33.0,"6' 1""",185 lbs.,"73""",Switch,"Nov 15, 1979",2013-08-28,False
Darren Elkins,29.0,"5' 10""",145 lbs.,"71""",Orthodox,"May 16, 1984",2013-08-28,False
Jason High,31.0,"5' 8""",155 lbs.,"71""",Southpaw,"Oct 12, 1981",2013-08-28,False
Chael Sonnen,36.0,"6' 1""",205 lbs.,"74""",Southpaw,"Apr 03, 1977",2013-08-17,False
Travis Browne,31.0,"6' 6""",255 lbs.,"79""",Orthodox,"Jul 17, 1982",2013-08-17,False
Urijah Faber,34.0,"5' 6""",135 lbs.,"67""",Orthodox,"May 14, 1979",2013-08-17,False
Matt Brown,32.0,"6' 0""",170 lbs.,"75""",Orthodox,"Jan 10, 1981",2013-08-17,False
John Howard,30.0,"5' 7""",170 lbs.,"71""",Orthodox,"Mar 01, 1983",2013-08-17,False
Michael Johnson,27.0,"5' 10""",145 lbs.,"73""",Southpaw,"Jun 04, 1986",2013-08-17,False
Michael McDonald,22.0,"5' 9""",135 lbs.,"70""",Orthodox,"Jan 15, 1991",2013-08-17,False
Conor McGregor,25.0,"5' 9""",155 lbs.,"74""",Southpaw,"Jul 14, 1988",2013-08-17,False
Steven Siler,26.0,"5' 11""",145 lbs.,"70""",Orthodox,"Feb 15, 1987",2013-08-17,False
Diego Brandao,26.0,"5' 7""",145 lbs.,"68""",Orthodox,"May 27, 1987",2013-08-17,False
Manvel Gamburyan,32.0,"5' 5""",135 lbs.,"67""",Orthodox,"May 08, 1981",2013-08-17,False
Ovince Saint Preux,30.0,"6' 3""",205 lbs.,"80""",Southpaw,"Apr 08, 1983",2013-08-17,False
Jose Aldo,26.0,"5' 7""",145 lbs.,"70""",Orthodox,"Sep 09, 1986",2013-08-03,True
Phil Davis,28.0,"6' 2""",205 lbs.,"79""",Orthodox,"Sep 25, 1984",2013-08-03,False
Thales Leites,31.0,"6' 1""",185 lbs.,"78""",Orthodox,"Sep 06, 1981",2013-08-03,False
Anthony Perosh,40.0,"6' 3""",205 lbs.,"75""",Orthodox,"Oct 05, 1972",2013-08-03,False
Sergio Moraes,31.0,"6' 0""",170 lbs.,"72""",Orthodox,"Jul 23, 1982",2013-08-03,False
Ian McCall,29.0,"5' 5""",125 lbs.,"64""",Orthodox,"May 07, 1984",2013-08-03,False
Rani Yahya,28.0,"5' 6""",135 lbs.,"67""",Orthodox,"Sep 12, 1984",2013-08-03,False
Demetrious Johnson,26.0,"5' 3""",125 lbs.,"66""",Orthodox,"Aug 13, 1986",2013-07-27,True
Rory MacDonald,24.0,"6' 0""",170 lbs.,"76""",Orthodox,"Jul 22, 1989",2013-07-27,False
Robbie Lawler,31.0,"5' 11""",170 lbs.,"74""",Southpaw,"Mar 20, 1982",2013-07-27,False
Jorge Masvidal,28.0,"5' 11""",170 lbs.,"74""",Orthodox,"Nov 12, 1984",2013-07-27,False
Danny Castillo,33.0,"5' 9""",155 lbs.,"71""",Orthodox,"Aug 25, 1979",2013-07-27,False
Melvin Guillard,30.0,"5' 9""",155 lbs.,"68""",Orthodox,"Mar 30, 1983",2013-07-27,False
Daron Cruickshank,28.0,"5' 8""",155 lbs.,"72""",Switch,"Jun 11, 1985",2013-07-27,False
Justin Salas,31.0,"5' 8""",155 lbs.,"70""",Southpaw,"Mar 13, 1982",2013-07-27,False
Yaotzin Meza,32.0,"5' 9""",145 lbs.,"74""",Orthodox,"Feb 04, 1981",2013-07-27,False
Chris Weidman,29.0,"6' 2""",185 lbs.,"78""",Orthodox,"Jun 17, 1984",2013-07-06,True
Frankie Edgar,31.0,"5' 6""",145 lbs.,"68""",Orthodox,"Oct 16, 1981",2013-07-06,False
Mark Munoz,35.0,"6' 0""",185 lbs.,"72""",Orthodox,"Feb 09, 1978",2013-07-06,False
Cub Swanson,29.0,"5' 8""",145 lbs.,"70""",Orthodox,"Nov 02, 1983",2013-07-06,False
Andrew Craig,27.0,"6' 1""",170 lbs.,"76""",Orthodox,"Jan 15, 1986",2013-07-06,False
Norman Parke,26.0,"5' 11""",155 lbs.,"70""",,"Dec 22, 1986",2013-07-06,False
Gabriel Gonzaga,34.0,"6' 2""",242 lbs.,"76""",Orthodox,"May 18, 1979",2013-07-06,False
Edson Barboza,27.0,"5' 11""",155 lbs.,"75""",Orthodox,"Jan 21, 1986",2013-07-06,False
Mike Pierce,32.0,"5' 8""",170 lbs.,"70""",Orthodox,"Sep 01, 1980",2013-07-06,False
Rashad Evans,33.0,"6' 0""",205 lbs.,"75""",Orthodox,"Sep 25, 1979",2013-06-15,False
Stipe Miocic,30.0,"6' 4""",240 lbs.,"80""",Orthodox,"Aug 19, 1982",2013-06-15,False
Ryan Jimmo,31.0,"6' 1""",205 lbs.,"73""",Orthodox,"Nov 27, 1981",2013-06-15,False
Shawn Jordan,28.0,"6' 0""",260 lbs.,"75""",Southpaw,"Oct 21, 1984",2013-06-15,False
Jake Shields,34.0,"6' 0""",170 lbs.,"72""",Orthodox,"Jan 09, 1979",2013-06-15,False
Sean Pierson,37.0,"6' 0""",170 lbs.,"76""",Southpaw,"Mar 10, 1976",2013-06-15,False
Roland Delorme,29.0,"5' 9""",135 lbs.,"71""",Orthodox,"Dec 18, 1983",2013-06-15,False
Mitch Clarke,27.0,"5' 10""",155 lbs.,"73""",Orthodox,"Nov 24, 1985",2013-06-15,False
Yves Jabouin,34.0,"5' 7""",135 lbs.,"68""",Orthodox,"May 30, 1979",2013-06-15,False
Fabricio Werdum,35.0,"6' 4""",231 lbs.,"77""",Orthodox,"Jul 30, 1977",2013-06-08,False
Erick Silva,28.0,"6' 0""",170 lbs.,"74""",Orthodox,"Jun 21, 1984",2013-06-08,False
Rony Jason,29.0,"5' 7""",145 lbs.,"70""",Orthodox,"Mar 21, 1984",2013-06-08,False
Raphael Assuncao,30.0,"5' 5""",135 lbs.,"66""",Orthodox,"Jul 19, 1982",2013-06-08,False
Felipe Arantes,25.0,"5' 8""",135 lbs.,"73""",Orthodox,"Feb 09, 1988",2013-06-08,False
Rodrigo Damm,33.0,"5' 7""",155 lbs.,"71""",Orthodox,"Feb 03, 1980",2013-06-08,False
Caio Magalhaes,25.0,"6' 1""",185 lbs.,"73""",Orthodox,"Dec 14, 1987",2013-06-08,False
Cain Velasquez,30.0,"6' 1""",240 lbs.,"77""",Orthodox,"Jul 28, 1982",2013-05-25,True
Junior Dos Santos,29.0,"6' 4""",238 lbs.,"77""",Orthodox,"Jan 30, 1984",2013-05-25,False
Glover Teixeira,33.0,"6' 2""",205 lbs.,"76""",Orthodox,"Oct 28, 1979",2013-05-25,False
TJ Grant,29.0,"5' 10""",155 lbs.,"72""",Orthodox,"Feb 26, 1984",2013-05-25,False
Mike Pyle,37.0,"6' 0""",170 lbs.,"74""",Orthodox,"Sep 18, 1975",2013-05-25,False
Dennis Bermudez,26.0,"5' 6""",155 lbs.,"66""",Orthodox,"Dec 13, 1986",2013-05-25,False
Robert Whittaker,22.0,"6' 0""",185 lbs.,"73""",Orthodox,"Dec 20, 1990",2013-05-25,False
Khabib Nurmagomedov,24.0,"5' 10""",155 lbs.,"70""",Orthodox,"Sep 20, 1988",2013-05-25,False
Stephen Thompson,30.0,"6' 0""",170 lbs.,"75""",Orthodox,"Feb 11, 1983",2013-05-25,False
George Roop,31.0,"6' 1""",135 lbs.,"72""",Orthodox,"Nov 10, 1981",2013-05-25,False
Rafael Dos Anjos,28.0,"5' 8""",170 lbs.,"70""",Southpaw,"Oct 26, 1984",2013-05-18,False
Nik Lentz,28.0,"5' 8""",155 lbs.,"68""",Orthodox,"Aug 13, 1984",2013-05-18,False
Francisco Trinaldo,34.0,"5' 9""",155 lbs.,"70""",Southpaw,"Aug 24, 1978",2013-05-18,False
Gleison Tibau,29.0,"5' 10""",155 lbs.,"71""",Southpaw,"Oct 07, 1983",2013-05-18,False
Fabio Maldonado,33.0,"6' 1""",205 lbs.,"75""",Orthodox,"Mar 17, 1980",2013-05-18,False
John Lineker,22.0,"5' 3""",135 lbs.,"67""",Orthodox,"Jun 12, 1990",2013-05-18,False
Jussier Formiga,28.0,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 14, 1985",2013-05-18,False
Lucas Martins,24.0,"6' 0""",145 lbs.,"72""",Southpaw,"Nov 11, 1988",2013-05-18,False
Jon Jones,25.0,"6' 4""",205 lbs.,"84""",Orthodox,"Jul 19, 1987",2013-04-27,True
Michael Bisping,34.0,"6' 1""",185 lbs.,"75""",Orthodox,"Feb 28, 1979",2013-04-27,False
Roy Nelson,36.0,"6' 0""",263 lbs.,"72""",Orthodox,"Jun 20, 1976",2013-04-27,False
Phil Davis,28.0,"6' 2""",205 lbs.,"79""",Orthodox,"Sep 25, 1984",2013-04-27,False
Bryan Caraway,28.0,"5' 8""",135 lbs.,"68""",Orthodox,"Aug 04, 1984",2013-04-27,False
Cody McKenzie,25.0,"6' 0""",155 lbs.,"72""",Switch,"Dec 16, 1987",2013-04-27,False
Josh Thomson,34.0,"5' 10""",155 lbs.,"71""",Orthodox,"Sep 21, 1978",2013-04-20,False
Matt Brown,32.0,"6' 0""",170 lbs.,"75""",Orthodox,"Jan 10, 1981",2013-04-20,False
Chad Mendes,27.0,"5' 6""",145 lbs.,"66""",Orthodox,"May 01, 1985",2013-04-20,False
Myles Jury,24.0,"5' 10""",145 lbs.,"73""",Orthodox,"Oct 31, 1988",2013-04-20,False
Joseph Benavidez,28.0,"5' 4""",125 lbs.,"65""",Southpaw,"Jul 31, 1984",2013-04-20,False
TJ Dillashaw,27.0,"5' 6""",125 lbs.,"67""",Orthodox,"Feb 07, 1986",2013-04-20,False
Urijah Faber,33.0,"5' 6""",135 lbs.,"67""",Orthodox,"May 14, 1979",2013-04-13,False
Travis Browne,30.0,"6' 6""",255 lbs.,"79""",Orthodox,"Jul 17, 1982",2013-04-13,False
Cole Miller,28.0,"6' 1""",145 lbs.,"74""",Orthodox,"Apr 26, 1984",2013-04-13,False
Maximo Blanco,29.0,"5' 8""",145 lbs.,"71""",Orthodox,"Oct 16, 1983",2013-04-13,False
Daniel Pineda,27.0,"5' 7""",145 lbs.,"69""",Orthodox,"Aug 06, 1985",2013-04-13,False
Matt Mitrione,34.0,"6' 3""",265 lbs.,"79""",Switch,"Jul 15, 1978",2013-04-06,False
Brad Pickett,34.0,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 24, 1978",2013-04-06,False
Diego Brandao,25.0,"5' 7""",145 lbs.,"68""",Orthodox,"May 27, 1987",2013-04-06,False
